"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0169862533064469,"Canada","inactive__Summer","existing"
"Alert",-0.00823140414560386,"Canada","NA__NA","new"
"Ambarchik",-0.0119388156424467,"Russia","NA__NA","new"
"Arctic Bay",-0.0124658635258034,"Canada","NA__NA","new"
"Artemovsk",-0.0200087193603148,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0169862533064469,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0133686265064048,"Canada","inactive__Summer","existing"
"Bayelva, Spitsbergen",-0.015469055187336,"Norway","active__All year","existing"
"Big Beaver House",-0.0186056250578387,"Canada","NA__NA","new"
"Bilibino",-0.0155102349860159,"Russia","NA__NA","new"
"Bodaybo",-0.0162041496214827,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0162868348174955,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0195461859578533,"USA","active__Summer","existing"
"Brochet",-0.0128425878319035,"Canada","NA__NA","new"
"Cape Bounty",-0.0137480239635112,"Canada","active__Summer","existing"
"Cape Dorset",-0.0184582117478902,"Canada","NA__NA","new"
"Cat Lake",-0.014706294614119,"Canada","NA__NA","new"
"Chegdomyn",-0.0266225267893823,"Russia","NA__NA","new"
"Cochrane",-0.0154455705539387,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.00940890304878941,"Greenland/Denmark","NA__NA","new"
"Dasan Station site",-0.0161137177481398,"Norway","inactive__All year","existing"
"Dease Lake",-0.0186622435680518,"Canada","NA__NA","new"
"Egvekinot",-0.0157419834685117,"Russia","NA__NA","new"
"Ennadai",-0.0218735847009038,"Canada","NA__NA","new"
"Fort Good Hope",-0.017234661124208,"Canada","NA__NA","new"
"Fort Nelson",-0.019093832806662,"Canada","NA__NA","new"
"Govorovo",-0.0336555197046134,"Russia","NA__NA","new"
"Grise Fiord",-0.0106393746399955,"Canada","NA__NA","new"
"Gulkana",-0.00980875064149794,"United States","NA__NA","new"
"Hearst",-0.0235238715625174,"Canada","NA__NA","new"
"Holman",-0.0134925767563422,"Canada","NA__NA","new"
"Inukjuak",-0.0156864895304959,"Canada","NA__NA","new"
"Ivugivik",-0.0199470148586115,"Canada","NA__NA","new"
"Kangerlussuaq",-0.012654312403397,"Denmark","NA__NA","new"
"Kangirsuk",-0.0163849954611855,"Canada","NA__NA","new"
"Kavache",-0.0262039380301139,"Russia","NA__NA","new"
"Khakhar",-0.0158986810944627,"Russia","NA__NA","new"
"Kimmirut",-0.0189979995770193,"Canada","NA__NA","new"
"Kirs",-0.0188923551430538,"Russia","NA__NA","new"
"Krasnoturinsk",-0.0255983841548915,"Russia","NA__NA","new"
"Matagami",-0.0153634760432926,"Canada","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0129976033517578,"USA","active__Summer","existing"
"Natara",-0.0291025566604712,"Russia","NA__NA","new"
"Neryungri",-0.0167480602730174,"Russia","NA__NA","new"
"Nizhneyansk",-0.0172353927261787,"Russia","NA__NA","new"
"Nord",-0.0150262888708578,"Denmark","NA__NA","new"
"Nyukzha",-0.0131994187143367,"Russia","NA__NA","new"
"Olenek",-0.0165802349770811,"Russia","NA__NA","new"
"Omchak",-0.01037414275656,"Russia","NA__NA","new"
"Omolon",-0.0225666469765646,"Russia","NA__NA","new"
"Omsukchan",-0.0212408311214857,"Russia","NA__NA","new"
"Oymyakon",-0.0153275307626043,"Russia","NA__NA","new"
"Paulatuk",-0.0106627544117148,"Canada","NA__NA","new"
"Poronaysk",-0.0136339821917049,"Russia","NA__NA","new"
"Provideniya",-0.0171328364891333,"Russia","NA__NA","new"
"Put Lenina",-0.0184779555853066,"Russia","NA__NA","new"
"Salluit",-0.0141027206870242,"Canada","NA__NA","new"
"Sangar",-0.0121295044327779,"Russia","NA__NA","new"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0132832239974159,"Canada","inactive__Summer","existing"
"Saskylakh",-0.014212200193777,"Russia","NA__NA","new"
"Savissivik",-0.0186298037916078,"Denmark","NA__NA","new"
"Sioux Lookout",-0.0214457931981228,"Canada","NA__NA","new"
"Sisimiut",-0.0161195393066328,"Denmark","NA__NA","new"
"Slavin Watershed TWO",-0.0130717315350183,"Canada","active__Summer","existing"
"Slyudyanka",-0.0191712858078241,"Russia","NA__NA","new"
"Southern Old Aspen (BERMS)",-0.0138349889380446,"Canada","active__Summer","existing"
"Spasskaya Pad (experimental forest)",-0.0163191358909964,"Russia","active__Summer","existing"
"Spasskaya Pad, Larch",-0.0134441302570257,"Russia","active__Summer","existing"
"Susuman",-0.0255530814669818,"Russia","NA__NA","new"
"Tasiusaq",-0.0185165507988114,"Denmark","NA__NA","new"
"Terbyas",-0.0139592528780914,"Russia","NA__NA","new"
"Tunguskhaya",-0.025812753973399,"Russia","NA__NA","new"
"Tura",-0.0319041419690008,"Russia","active__Summer","existing"
"Tynda",-0.0240447625803879,"Russia","NA__NA","new"
"UCI-1930 burn site",-0.0154592291730828,"Canada","inactive__Summer","existing"
"UCI-1981 burn site",-0.0171373460852606,"Canada","inactive__Summer","existing"
"UCI-1989 burn site",-0.0182006449738682,"Canada","inactive__Summer","existing"
"UCI-1998 burn site",-0.0222811582990576,"Canada","inactive__Summer","existing"
"Udachnyy",-0.0237510587882257,"Russia","NA__NA","new"
"Uranium City",-0.00815919938214409,"Canada","NA__NA","new"
"Ust Kut",-0.0221967426124451,"Russia","NA__NA","new"
"Ust Kuyga",-0.0314734623728909,"Russia","NA__NA","new"
"Ust Nera",-0.0172765891307619,"Russia","NA__NA","new"
"Utikuma Region, Northern Study Area",-0.0160334112713227,"Canada","inactive__Summer","existing"
"Uummannaq",-0.0173627952623487,"Denmark","NA__NA","new"
"Villum Research Station (VRS)",-0.007424453303435,"Greenland (Denmark)","NA__NA","new"
"Vitim",-0.0199338760743227,"Russia","NA__NA","new"
"Wiseman",-0.018407833174608,"United States","NA__NA","new"
"Yakutsk-Larch",-0.0159251886412642,"Russia","inactive__Summer","existing"
"Yakutsk-Pine",-0.0168325554998921,"Russia","active__Summer","existing"
"Yessey",-0.0358011463809749,"Russia","NA__NA","new"
"ZOTTO forest (old)",-0.013937364305459,"Russia","inactive__Summer","existing"
"ZOTTO-Forest EC",-0.013937364305459,"Russia","active__All year","existing"
"Zackenberg, Fen",-0.0136364700556615,"Greenland","active__All year","existing"
"Zackenberg, Heath",-0.0149817342595782,"Greenland","active__All year","existing"
"Zhilinda",-0.0264772737082592,"Russia","NA__NA","new"
