"sitename","means","country","stats","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0199710760320831,"Canada","existing","inactive__Summer"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0146316911118065,"Canada","existing","inactive__Summer"
"Aldan",-0.0147413229975969,"Russia","new","NA__NA"
"Alert",-0.0179914016701361,"Canada","new","NA__NA"
"Allakaket",-0.00723984830219455,"United States","new","NA__NA"
"Ambarchik",-0.0154812294573796,"Russia","new","NA__NA"
"Arctic Bay",-0.0225783553400616,"Canada","new","NA__NA"
"Artemovsk",-0.0208186695787717,"Russia","new","NA__NA"
"Athabasca, poor fen",-0.0199710760320831,"Canada","existing","inactive__Summer"
"Athabasca, rich fen",-0.0146316911118065,"Canada","existing","inactive__Summer"
"Baker Lake",-0.0125371378506848,"Canada","new","NA__NA"
"Big Beaver House",-0.0248482423016672,"Canada","new","NA__NA"
"Bilibino",-0.0162354264546811,"Russia","new","NA__NA"
"Bodaybo",-0.0186487893233144,"Russia","new","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.01933847015944,"USA","existing","inactive__Summer"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.019604131486566,"USA","existing","active__Summer"
"Boyarka",-0.00801026939526303,"Russia","new","NA__NA"
"Brochet",-0.015582399660518,"Canada","new","NA__NA"
"Cape Dorset",-0.0251019706766523,"Canada","new","NA__NA"
"Cochrane",-0.01697165610063,"Canada","new","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.0166852800970528,"Greenland/Denmark","new","NA__NA"
"Daring Lake (dwarf shrub)",-0.0123400670584575,"Canada","existing","active__Summer"
"Daring Lake (low shrub)",-0.0183184299118572,"Canada","existing","active__Summer"
"Dease Lake",-0.0241312949721379,"Canada","new","NA__NA"
"Ennadai",-0.027449013012724,"Canada","new","NA__NA"
"Flashline Mars Arctic Research Station",-0.0124205103804961,"Canada","new","NA__NA"
"Fort Good Hope",-0.0203780289267398,"Canada","new","NA__NA"
"Fort Nelson",-0.0199676724727556,"Canada","new","NA__NA"
"Govorovo",-0.0356260017960217,"Russia","new","NA__NA"
"Grise Fiord",-0.0225416082687553,"Canada","new","NA__NA"
"Gubakha",-0.0141680506006211,"Russia","new","NA__NA"
"Hearst",-0.0303364883605088,"Canada","new","NA__NA"
"Holman",-0.0231324976058076,"Canada","new","NA__NA"
"Ivugivik",-0.0245296411689803,"Canada","new","NA__NA"
"Kavache",-0.0276410651828117,"Russia","new","NA__NA"
"Khakhar",-0.0152657581079524,"Russia","new","NA__NA"
"Kirs",-0.0237190530592453,"Russia","new","NA__NA"
"Matagami",-0.0208106603020285,"Canada","new","NA__NA"
