"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0169862533064469,"Canada","inactive__Summer","existing"
"Alert",-0.00823140414560386,"Canada","NA__NA","new"
"Ambarchik",-0.011860094944477,"Russia","NA__NA","new"
"Arctic Bay",-0.0124611843944902,"Canada","NA__NA","new"
"Artemovsk",-0.0200087193603148,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0169862533064469,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0133686265064048,"Canada","inactive__Summer","existing"
"Bayelva, Spitsbergen",-0.015469055187336,"Norway","active__All year","existing"
"Big Beaver House",-0.0186056250578387,"Canada","NA__NA","new"
"Bilibino",-0.00510103209056188,"Russia","NA__NA","new"
"Bodaybo",-0.01606032347941,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0162712432783658,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0195461859578533,"USA","active__Summer","existing"
"Brochet",-0.0127010832127464,"Canada","NA__NA","new"
"Cape Bounty",-0.013718151312007,"Canada","active__Summer","existing"
"Cape Dorset",-0.0184582117478902,"Canada","NA__NA","new"
"Cat Lake",-0.0147062149640921,"Canada","NA__NA","new"
"Chegdomyn",-0.0265705148806295,"Russia","NA__NA","new"
"Cochrane",-0.0154455705539387,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.00940890304878941,"Greenland/Denmark","NA__NA","new"
"Dasan Station site",-0.0161137177481398,"Norway","inactive__All year","existing"
"Dease Lake",-0.0186622435680518,"Canada","NA__NA","new"
"Egvekinot",-0.0157419834685117,"Russia","NA__NA","new"
"Ennadai",-0.0173028732486901,"Canada","NA__NA","new"
"Fort Good Hope",-0.0119307309082591,"Canada","NA__NA","new"
"Fort Nelson",-0.019093832806662,"Canada","NA__NA","new"
"Govorovo",-0.0111337545861955,"Russia","NA__NA","new"
"Grise Fiord",-0.0106347734935816,"Canada","NA__NA","new"
"Gulkana",-0.00980875064149794,"United States","NA__NA","new"
"Hearst",-0.0235238715625174,"Canada","NA__NA","new"
"Holman",-0.0134905714828672,"Canada","NA__NA","new"
"Inukjuak",-0.0156864895304959,"Canada","NA__NA","new"
"Ivugivik",-0.0199470148586115,"Canada","NA__NA","new"
"Kangerlussuaq",-0.012654312403397,"Denmark","NA__NA","new"
"Kangirsuk",-0.0163849954611855,"Canada","NA__NA","new"
"Kavache",-0.00847435717896567,"Russia","NA__NA","new"
"Khakhar",-0.012801026048544,"Russia","NA__NA","new"
"Kimmirut",-0.0189979995770193,"Canada","NA__NA","new"
"Kirs",-0.0188923551430538,"Russia","NA__NA","new"
"Krasnoturinsk",-0.0255983841548915,"Russia","NA__NA","new"
"Matagami",-0.0153634760432926,"Canada","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0129971319276807,"USA","active__Summer","existing"
"Natara",-0.00856373385045633,"Russia","NA__NA","new"
"Neryungri",-0.0146015422873545,"Russia","NA__NA","new"
"Nizhneyansk",-0.00684250486261795,"Russia","NA__NA","new"
"Nord",-0.0150262888708578,"Denmark","NA__NA","new"
"Nyukzha",-0.00976776840190374,"Russia","NA__NA","new"
"Olenek",-0.00339554117814637,"Russia","NA__NA","new"
"Omchak",-0.00479658826356565,"Russia","NA__NA","new"
"Omolon",-0.00861576228787985,"Russia","NA__NA","new"
"Omsukchan",-0.0122863325375336,"Russia","NA__NA","new"
"Oymyakon",-0.00393686599249677,"Russia","NA__NA","new"
"Paulatuk",-0.0106627544117148,"Canada","NA__NA","new"
"Poronaysk",-0.0136339821917049,"Russia","NA__NA","new"
"Provideniya",-0.0171328364891333,"Russia","NA__NA","new"
"Put Lenina",-0.00477612650030056,"Russia","NA__NA","new"
"Salluit",-0.0141027206870242,"Canada","NA__NA","new"
"Sangar",-0.00248356104813656,"Russia","NA__NA","new"
"Saskatchewan - Western Boreal, forest burned in 1998",-0.0132832239974159,"Canada","inactive__Summer","existing"
"Saskylakh",-0.00450435717475519,"Russia","NA__NA","new"
"Savissivik",-0.0186298037916078,"Denmark","NA__NA","new"
"Sioux Lookout",-0.0214457931981228,"Canada","NA__NA","new"
"Sisimiut",-0.0161195393066328,"Denmark","NA__NA","new"
"Slavin Watershed TWO",-0.0127043148981257,"Canada","active__Summer","existing"
"Slyudyanka",-0.0191712858078241,"Russia","NA__NA","new"
"Southern Old Aspen (BERMS)",-0.0138349889380446,"Canada","active__Summer","existing"
"Spasskaya Pad (experimental forest)",-0.0152677785106311,"Russia","active__Summer","existing"
"Spasskaya Pad, Larch",-0.0128519121354857,"Russia","active__Summer","existing"
"Susuman",-0.00428257037508246,"Russia","NA__NA","new"
"Tasiusaq",-0.0185165507988114,"Denmark","NA__NA","new"
"Terbyas",-0.0133587604861776,"Russia","NA__NA","new"
"Tunguskhaya",-0.00515512497491478,"Russia","NA__NA","new"
"Tura",-0.00804946274139896,"Russia","active__Summer","existing"
"Tynda",-0.0240147417568242,"Russia","NA__NA","new"
"UCI-1930 burn site",-0.0154592291730828,"Canada","inactive__Summer","existing"
"UCI-1981 burn site",-0.0171373460852606,"Canada","inactive__Summer","existing"
"UCI-1989 burn site",-0.0182006449738682,"Canada","inactive__Summer","existing"
"UCI-1998 burn site",-0.0222811582990576,"Canada","inactive__Summer","existing"
"Udachnyy",-0.00662886178724548,"Russia","NA__NA","new"
"Uranium City",-0.00815714393242333,"Canada","NA__NA","new"
"Ust Kut",-0.0221967426124451,"Russia","NA__NA","new"
"Ust Kuyga",-0.0102208816387423,"Russia","NA__NA","new"
"Ust Nera",-0.00369795823267949,"Russia","NA__NA","new"
"Utikuma Region, Northern Study Area",-0.0160334112713227,"Canada","inactive__Summer","existing"
"Uummannaq",-0.0173627952623487,"Denmark","NA__NA","new"
"Villum Research Station (VRS)",-0.007424453303435,"Greenland (Denmark)","NA__NA","new"
"Vitim",-0.0199318132514146,"Russia","NA__NA","new"
"Wiseman",-0.017005761754358,"United States","NA__NA","new"
"Yakutsk-Larch",-0.015299848243042,"Russia","inactive__Summer","existing"
"Yakutsk-Pine",-0.0159613832096112,"Russia","active__Summer","existing"
"ZOTTO forest (old)",-0.0139364090665435,"Russia","inactive__Summer","existing"
"ZOTTO-Forest EC",-0.0139364090665435,"Russia","active__All year","existing"
"Zackenberg, Fen",-0.0136364700556615,"Greenland","active__All year","existing"
"Zackenberg, Heath",-0.0149817342595782,"Greenland","active__All year","existing"
"Zhilinda",-0.00506930428016009,"Russia","NA__NA","new"
