"sitename","means","country","stats","type"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0128462789644948,"Canada","existing","inactive__Summer"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.010914191501339,"Canada","existing","inactive__Summer"
"Aldan",-0.0128065778449421,"Russia","new","NA__NA"
"Alert",-0.0179914016701361,"Canada","new","NA__NA"
"Allakaket",-0.00594579187535552,"United States","new","NA__NA"
"Ambarchik",-0.0154548252257202,"Russia","new","NA__NA"
"Arctic Bay",-0.0225779427440403,"Canada","new","NA__NA"
"Artemovsk",-0.0178362517129392,"Russia","new","NA__NA"
"Athabasca, poor fen",-0.0128462789644948,"Canada","existing","inactive__Summer"
"Athabasca, rich fen",-0.010914191501339,"Canada","existing","inactive__Summer"
"Baker Lake",-0.0118478268397679,"Canada","new","NA__NA"
"Big Beaver House",-0.0160164816119007,"Canada","new","NA__NA"
"Bilibino",-0.00562612879521258,"Russia","new","NA__NA"
"Bodaybo",-0.015477251674837,"Russia","new","NA__NA"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0151400143734151,"USA","existing","inactive__Summer"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0194700684841922,"USA","existing","active__Summer"
"Boyarka",-0.00345383280069298,"Russia","new","NA__NA"
"Brochet",-0.0134835012867357,"Canada","new","NA__NA"
"Cape Dorset",-0.0251019706766523,"Canada","new","NA__NA"
"Cochrane",-0.0125785787649112,"Canada","new","NA__NA"
"DMI Geophysical Observatory Qaanaaq",-0.0166852800970528,"Greenland/Denmark","new","NA__NA"
"Daring Lake (dwarf shrub)",-0.0102347152360976,"Canada","existing","active__Summer"
"Daring Lake (low shrub)",-0.0145249032315999,"Canada","existing","active__Summer"
"Dease Lake",-0.0132956874739409,"Canada","new","NA__NA"
"Ennadai",-0.0208177465139391,"Canada","new","NA__NA"
"Flashline Mars Arctic Research Station",-0.0124205103804961,"Canada","new","NA__NA"
"Fort Good Hope",-0.0135946447994179,"Canada","new","NA__NA"
"Fort Nelson",-0.0165653990959986,"Canada","new","NA__NA"
"Grise Fiord",-0.022541235538134,"Canada","new","NA__NA"
"Gubakha",-0.0125562105997916,"Russia","new","NA__NA"
"Holman",-0.0231324067493668,"Canada","new","NA__NA"
"Ivugivik",-0.0245296411689803,"Canada","new","NA__NA"
"Kavache",-0.00877349972140239,"Russia","new","NA__NA"
"Khakhar",-0.012548723748487,"Russia","new","NA__NA"
"Kirs",-0.0143255365817268,"Russia","new","NA__NA"
"Matagami",-0.0110485629332475,"Canada","new","NA__NA"
"Montana",-0.0119311488211361,"United States","new","NA__NA"
"NEON Delta Junction (DEJU)",-0.0115446254824444,"USA","existing","active__Summer"
"Natara",-0.0105976306348145,"Russia","new","NA__NA"
"Nelegel",-0.0105846463722504,"Russia","existing","inactive__Summer"
"Neleger Burnt Forest",-0.0104169414020807,"Russia","existing","inactive__Summer"
"Neleger Cutover",-0.0110616610633968,"Russia","existing","inactive__Summer"
"Neleger larch forest",-0.0105846463722504,"Russia","existing","inactive__Summer"
"Neryungri",-0.014907022982013,"Russia","new","NA__NA"
"Nizhneyansk",-0.00823491511581411,"Russia","new","NA__NA"
"Nord",-0.0247534605391712,"Denmark","new","NA__NA"
"Nyukzha",-0.0103815558482542,"Russia","new","NA__NA"
"Olenek",-0.00586081990588838,"Russia","new","NA__NA"
"Omchak",-0.00547805316970097,"Russia","new","NA__NA"
"Omolon",-0.00990248023624365,"Russia","new","NA__NA"
"Omsukchan",-0.0157374455538882,"Russia","new","NA__NA"
"Oymyakon",-0.00651094808086301,"Russia","new","NA__NA"
"Paulatuk",-0.0123144634915897,"Canada","new","NA__NA"
"Poronaysk",-0.0112611400693181,"Russia","new","NA__NA"
"Put Lenina",-0.00677278155955307,"Russia","new","NA__NA"
"Resolute Bay",-0.0202712809616922,"Canada","existing","active__Summer"
