"sitename","means","country","type","stats"
"Alberta - Western Peatland - Poor Fen (Sphagnum moss)",-0.0211506442099921,"Canada","inactive__Summer","existing"
"Alberta - Western Peatland - Rich Fen  (Carex)",-0.0165771026524039,"Canada","inactive__Summer","existing"
"Aldan",-0.0142171242297517,"Russia","NA__NA","new"
"Alert",-0.0251963965843726,"Canada","NA__NA","new"
"Allakaket",-0.00681366350190889,"United States","NA__NA","new"
"Ambarchik",-0.0238602219817988,"Russia","NA__NA","new"
"Arctic Bay",-0.0324175651585427,"Canada","NA__NA","new"
"Artemovsk",-0.025084071855849,"Russia","NA__NA","new"
"Athabasca, poor fen",-0.0211506442099921,"Canada","inactive__Summer","existing"
"Athabasca, rich fen",-0.0165771026524039,"Canada","inactive__Summer","existing"
"Baker Lake",-0.0147106494486624,"Canada","NA__NA","new"
"Big Beaver House",-0.0212862740964012,"Canada","NA__NA","new"
"Bilibino",-0.00557173566368839,"Russia","NA__NA","new"
"Bodaybo",-0.0194541889769418,"Russia","NA__NA","new"
"Bonanza Creek, 1920 Burn site near Delta Junction",-0.0211111728987342,"USA","inactive__Summer","existing"
"Bonanza Creek, 1987 Burn site near Delta Junction",-0.0226832720093503,"USA","active__Summer","existing"
"Boyarka",-0.00404380746207515,"Russia","NA__NA","new"
"Brochet",-0.0158461566003897,"Canada","NA__NA","new"
"Cape Bounty",-0.0357266924414461,"Canada","active__Summer","existing"
"Cape Dorset",-0.0221334453102247,"Canada","NA__NA","new"
"Chegdomyn",-0.0287816892654756,"Russia","NA__NA","new"
"Cochrane",-0.0189846925375443,"Canada","NA__NA","new"
"DMI Geophysical Observatory Qaanaaq",-0.0154721483790332,"Greenland/Denmark","NA__NA","new"
"Daring Lake (dwarf shrub)",-0.0110189290419408,"Canada","active__Summer","existing"
"Daring Lake (low shrub)",-0.0160330280103619,"Canada","active__Summer","existing"
"Dease Lake",-0.0214340403005853,"Canada","NA__NA","new"
"Ennadai",-0.0221736345245385,"Canada","NA__NA","new"
"Flashline Mars Arctic Research Station",-0.0159877473534687,"Canada","NA__NA","new"
"Fort Good Hope",-0.0144975855345781,"Canada","NA__NA","new"
"Fort Nelson",-0.0241904975067835,"Canada","NA__NA","new"
"Govorovo",-0.0123261799374825,"Russia","NA__NA","new"
"Grise Fiord",-0.0295231534218467,"Canada","NA__NA","new"
"Gubakha",-0.0146016318341476,"Russia","NA__NA","new"
"Hearst",-0.0257026235005089,"Canada","NA__NA","new"
"Holman",-0.0320490955056065,"Canada","NA__NA","new"
"Island Lake",-0.0248620608737603,"Canada","NA__NA","new"
"Ivugivik",-0.0175457128052655,"Canada","NA__NA","new"
"Kavache",-0.00922750564511336,"Russia","NA__NA","new"
"Khakhar",-0.0128900754725654,"Russia","NA__NA","new"
"Kirs",-0.0216154300791974,"Russia","NA__NA","new"
"Krasnoturinsk",-0.0301758027428231,"Russia","NA__NA","new"
"Matagami",-0.0170906249033419,"Canada","NA__NA","new"
"Montana",-0.0149242930648264,"United States","NA__NA","new"
"NEON Delta Junction (DEJU)",-0.0193773376476911,"USA","active__Summer","existing"
"Natara",-0.0086727020294481,"Russia","NA__NA","new"
"Naujaat",-0.0351932201750699,"Canada","NA__NA","new"
"Nelegel",-0.0104626059132626,"Russia","inactive__Summer","existing"
"Neleger Burnt Forest",-0.0101452827472135,"Russia","inactive__Summer","existing"
"Neleger Cutover",-0.0108897386350504,"Russia","inactive__Summer","existing"
"Neleger larch forest",-0.0104626059132626,"Russia","inactive__Summer","existing"
